config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
1,0.05,0.005,0.8,0.08,8e-05,0.4,80,False,0.5550,0.5183,0.5403,2.68
2,0.05,0.005,0.8,0.08,8e-05,0.4,80,True,0.6476,0.5191,0.5962,2.28
3,0.05,0.005,0.8,0.08,8e-05,0.4,100,False,0.6267,0.5939,0.6136,2.86
4,0.05,0.005,0.8,0.08,8e-05,0.4,100,True,0.5804,0.5528,0.5694,2.86
5,0.05,0.005,0.8,0.08,8e-05,0.5,80,False,0.3225,0.3733,0.3428,2.28
6,0.05,0.005,0.8,0.08,8e-05,0.5,80,True,0.4422,0.3920,0.4221,2.29
7,0.05,0.005,0.8,0.08,8e-05,0.5,100,False,0.7068,0.5819,0.6568,2.86
8,0.05,0.005,0.8,0.08,8e-05,0.5,100,True,0.5592,0.5099,0.5394,2.86
9,0.05,0.005,0.8,0.08,8e-05,0.6,80,False,0.6599,0.5997,0.6358,2.28
10,0.05,0.005,0.8,0.08,8e-05,0.6,80,True,0.6463,0.4951,0.5858,2.29
11,0.05,0.005,0.8,0.08,8e-05,0.6,100,False,0.6132,0.5390,0.5835,2.86
12,0.05,0.005,0.8,0.08,8e-05,0.6,100,True,0.6746,0.5862,0.6392,2.86
13,0.05,0.005,0.8,0.08,8e-05,0.7,80,False,0.6279,0.6215,0.6253,2.29
14,0.05,0.005,0.8,0.08,8e-05,0.7,80,True,0.3747,0.4722,0.4137,1.73
15,0.05,0.005,0.8,0.08,8e-05,0.7,100,False,0.3436,0.4647,0.3920,1.73
16,0.05,0.005,0.8,0.08,8e-05,0.7,100,True,0.3741,0.4668,0.4112,2.86
17,0.05,0.005,0.8,0.08,0.0001,0.4,80,False,0.5530,0.5412,0.5483,2.29
18,0.05,0.005,0.8,0.08,0.0001,0.4,80,True,0.5775,0.5403,0.5626,2.29
19,0.05,0.005,0.8,0.08,0.0001,0.4,100,False,0.4392,0.4325,0.4365,2.86
20,0.05,0.005,0.8,0.08,0.0001,0.4,100,True,0.5635,0.4988,0.5376,2.30
21,0.05,0.005,0.8,0.08,0.0001,0.5,80,False,0.5867,0.5584,0.5754,2.29
22,0.05,0.005,0.8,0.08,0.0001,0.5,80,True,0.5308,0.5223,0.5274,2.29
23,0.05,0.005,0.8,0.08,0.0001,0.5,100,False,0.5960,0.5169,0.5644,2.86
24,0.05,0.005,0.8,0.08,0.0001,0.5,100,True,0.5361,0.5416,0.5383,2.86
25,0.05,0.005,0.8,0.08,0.0001,0.6,80,False,0.6414,0.5891,0.6205,2.29
26,0.05,0.005,0.8,0.08,0.0001,0.6,80,True,0.5682,0.5708,0.5692,2.29
27,0.05,0.005,0.8,0.08,0.0001,0.6,100,False,0.7041,0.5898,0.6584,2.86
28,0.05,0.005,0.8,0.08,0.0001,0.6,100,True,0.6558,0.5411,0.6099,2.86
29,0.05,0.005,0.8,0.08,0.0001,0.7,80,False,0.6080,0.5781,0.5961,2.29
30,0.05,0.005,0.8,0.08,0.0001,0.7,80,True,0.6288,0.5881,0.6125,2.29
31,0.05,0.005,0.8,0.08,0.0001,0.7,100,False,0.4933,0.4485,0.4754,2.86
32,0.05,0.005,0.8,0.08,0.0001,0.7,100,True,0.4417,0.5106,0.4692,2.86
33,0.05,0.005,0.8,0.08,0.00012,0.4,80,False,0.7141,0.6260,0.6789,2.29
34,0.05,0.005,0.8,0.08,0.00012,0.4,80,True,0.6640,0.5862,0.6329,2.29
