task_id,config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
1,1,0.03,0.003,0.75,0.08,8e-05,0.4,250,False,0.6426,0.5375,0.6006,7.55
1,2,0.03,0.003,0.75,0.08,8e-05,0.4,250,True,0.6231,0.5861,0.6083,7.15
1,3,0.03,0.003,0.75,0.08,8e-05,0.45,250,False,0.5992,0.5499,0.5795,7.15
1,4,0.03,0.003,0.75,0.08,8e-05,0.45,250,True,0.5852,0.5464,0.5697,6.87
1,5,0.03,0.003,0.75,0.08,8e-05,0.5,250,False,0.6177,0.5825,0.6036,6.30
1,6,0.03,0.003,0.75,0.08,8e-05,0.5,250,True,0.6087,0.5626,0.5903,7.15
1,7,0.03,0.003,0.75,0.08,8e-05,0.55,250,False,0.6346,0.5357,0.5950,7.16
1,8,0.03,0.003,0.75,0.08,8e-05,0.55,250,True,0.5701,0.5198,0.5500,6.88
1,9,0.03,0.003,0.75,0.08,8e-05,0.6,250,False,0.5453,0.5620,0.5520,7.16
1,10,0.03,0.003,0.75,0.08,8e-05,0.6,250,True,0.6464,0.5988,0.6273,6.31
1,11,0.03,0.003,0.75,0.08,9e-05,0.4,250,False,0.5679,0.5774,0.5717,6.31
1,12,0.03,0.003,0.75,0.08,9e-05,0.4,250,True,0.5962,0.5795,0.5895,5.74
1,13,0.03,0.003,0.75,0.08,9e-05,0.45,250,False,0.6133,0.5694,0.5957,6.31
1,14,0.03,0.003,0.75,0.08,9e-05,0.45,250,True,0.5680,0.5514,0.5613,5.74
1,15,0.03,0.003,0.75,0.08,9e-05,0.5,250,False,0.6508,0.6176,0.6375,7.16
1,16,0.03,0.003,0.75,0.08,9e-05,0.5,250,True,0.5804,0.5466,0.5668,7.16
1,17,0.03,0.003,0.75,0.08,9e-05,0.55,250,False,0.6420,0.5372,0.6001,7.16
1,18,0.03,0.003,0.75,0.08,9e-05,0.55,250,True,0.6669,0.6044,0.6419,7.16
1,19,0.03,0.003,0.75,0.08,9e-05,0.6,250,False,0.6726,0.5660,0.6300,7.16
1,20,0.03,0.003,0.75,0.08,9e-05,0.6,250,True,0.3856,0.5032,0.4327,7.16
1,21,0.03,0.003,0.75,0.08,0.0001,0.4,250,False,0.4929,0.5415,0.5123,5.74
1,22,0.03,0.003,0.75,0.08,0.0001,0.4,250,True,0.6186,0.5261,0.5816,7.16
1,23,0.03,0.003,0.75,0.08,0.0001,0.45,250,False,0.6220,0.5920,0.6100,7.16
1,24,0.03,0.003,0.75,0.08,0.0001,0.45,250,True,0.7145,0.6176,0.6757,5.74
1,25,0.03,0.003,0.75,0.08,0.0001,0.5,250,False,0.6376,0.6254,0.6327,7.16
1,26,0.03,0.003,0.75,0.08,0.0001,0.5,250,True,0.6378,0.5940,0.6202,7.16
1,27,0.03,0.003,0.75,0.08,0.0001,0.55,250,False,0.6822,0.6021,0.6502,6.89
1,28,0.03,0.003,0.75,0.08,0.0001,0.55,250,True,0.5920,0.5620,0.5800,7.16
1,29,0.03,0.003,0.75,0.08,0.0001,0.6,250,False,0.4679,0.4390,0.4563,5.74
1,30,0.03,0.003,0.75,0.08,0.0001,0.6,250,True,0.6774,0.5904,0.6426,5.17
1,31,0.03,0.003,0.75,0.08,0.00011,0.4,250,False,0.6613,0.6381,0.6520,7.16
1,32,0.03,0.003,0.75,0.08,0.00011,0.4,250,True,0.6159,0.6380,0.6248,7.17
1,33,0.03,0.003,0.75,0.08,0.00011,0.45,250,False,0.5738,0.5197,0.5522,7.16
1,34,0.03,0.003,0.75,0.08,0.00011,0.45,250,True,0.6356,0.5348,0.5953,7.17
1,35,0.03,0.003,0.75,0.08,0.00011,0.5,250,False,0.6642,0.5823,0.6314,5.74
1,36,0.03,0.003,0.75,0.08,0.00011,0.5,250,True,0.6158,0.5465,0.5881,7.16
1,37,0.03,0.003,0.75,0.08,0.00011,0.55,250,False,0.6503,0.5898,0.6261,7.16
1,38,0.03,0.003,0.75,0.08,0.00011,0.55,250,True,0.5714,0.5548,0.5648,7.17
1,39,0.03,0.003,0.75,0.08,0.00011,0.6,250,False,0.6573,0.5688,0.6219,5.74
1,40,0.03,0.003,0.75,0.08,0.00011,0.6,250,True,0.6207,0.5464,0.5910,5.74
1,41,0.03,0.003,0.75,0.08,0.00012,0.4,250,False,0.6186,0.5918,0.6078,7.17
1,42,0.03,0.003,0.75,0.08,0.00012,0.4,250,True,0.6048,0.5650,0.5889,5.74
1,43,0.03,0.003,0.75,0.08,0.00012,0.45,250,False,0.5748,0.5247,0.5548,7.17
1,44,0.03,0.003,0.75,0.08,0.00012,0.45,250,True,0.6224,0.5938,0.6110,7.17
1,45,0.03,0.003,0.75,0.08,0.00012,0.5,250,False,0.6144,0.5928,0.6058,7.17
1,46,0.03,0.003,0.75,0.08,0.00012,0.5,250,True,0.6712,0.5967,0.6414,6.32
1,47,0.03,0.003,0.75,0.08,0.00012,0.55,250,False,0.5898,0.5052,0.5559,7.17
1,48,0.03,0.003,0.75,0.08,0.00012,0.55,250,True,0.6575,0.5911,0.6310,6.31
1,49,0.03,0.003,0.75,0.08,0.00012,0.6,250,False,0.6007,0.5504,0.5806,7.17
1,50,0.03,0.003,0.75,0.08,0.00012,0.6,250,True,0.6535,0.6076,0.6351,7.17
1,51,0.03,0.003,0.75,0.1,8e-05,0.4,250,False,0.6601,0.5854,0.6302,6.89
1,52,0.03,0.003,0.75,0.1,8e-05,0.4,250,True,0.5921,0.4900,0.5512,6.89
1,53,0.03,0.003,0.75,0.1,8e-05,0.45,250,False,0.6243,0.5553,0.5967,7.17
1,54,0.03,0.003,0.75,0.1,8e-05,0.45,250,True,0.6600,0.5958,0.6344,7.17
1,55,0.03,0.003,0.75,0.1,8e-05,0.5,250,False,0.6241,0.5991,0.6141,7.17
1,56,0.03,0.003,0.75,0.1,8e-05,0.5,250,True,0.6040,0.6224,0.6114,6.89
1,57,0.03,0.003,0.75,0.1,8e-05,0.55,250,False,0.6423,0.5587,0.6089,7.17
1,58,0.03,0.003,0.75,0.1,8e-05,0.55,250,True,0.5941,0.5681,0.5837,7.17
1,59,0.03,0.003,0.75,0.1,8e-05,0.6,250,False,0.5454,0.5694,0.5550,5.74
1,60,0.03,0.003,0.75,0.1,8e-05,0.6,250,True,0.6040,0.5755,0.5926,6.32
1,61,0.03,0.003,0.75,0.1,9e-05,0.4,250,False,0.5538,0.5420,0.5491,5.74
1,62,0.03,0.003,0.75,0.1,9e-05,0.4,250,True,0.4655,0.4496,0.4591,6.32
1,63,0.03,0.003,0.75,0.1,9e-05,0.45,250,False,0.6433,0.6086,0.6295,7.17
1,64,0.03,0.003,0.75,0.1,9e-05,0.45,250,True,0.5898,0.5396,0.5697,7.17
1,65,0.03,0.003,0.75,0.1,9e-05,0.5,250,False,0.6006,0.5077,0.5635,6.89
1,66,0.03,0.003,0.75,0.1,9e-05,0.5,250,True,0.6257,0.5855,0.6096,7.17
1,67,0.03,0.003,0.75,0.1,9e-05,0.55,250,False,0.5883,0.5580,0.5762,7.17
1,68,0.03,0.003,0.75,0.1,9e-05,0.55,250,True,0.5578,0.4842,0.5284,6.32
1,69,0.03,0.003,0.75,0.1,9e-05,0.6,250,False,0.6019,0.5830,0.5944,7.17
1,70,0.03,0.003,0.75,0.1,9e-05,0.6,250,True,0.6089,0.5422,0.5822,5.17
1,71,0.03,0.003,0.75,0.1,0.0001,0.4,250,False,0.6216,0.5689,0.6005,7.17
1,72,0.03,0.003,0.75,0.1,0.0001,0.4,250,True,0.6015,0.5751,0.5910,7.17
1,73,0.03,0.003,0.75,0.1,0.0001,0.45,250,False,0.6776,0.6035,0.6480,6.32
1,74,0.03,0.003,0.75,0.1,0.0001,0.45,250,True,0.6376,0.6061,0.6250,7.17
1,75,0.03,0.003,0.75,0.1,0.0001,0.5,250,False,0.6268,0.6114,0.6206,6.32
1,76,0.03,0.003,0.75,0.1,0.0001,0.5,250,True,0.5074,0.4943,0.5022,5.17
1,77,0.03,0.003,0.75,0.1,0.0001,0.55,250,False,0.5167,0.4495,0.4898,7.17
1,78,0.03,0.003,0.75,0.1,0.0001,0.55,250,True,0.6879,0.5658,0.6391,5.17
1,79,0.03,0.003,0.75,0.1,0.0001,0.6,250,False,0.5216,0.5119,0.5177,7.17
1,80,0.03,0.003,0.75,0.1,0.0001,0.6,250,True,0.6516,0.6273,0.6419,6.32
1,81,0.03,0.003,0.75,0.1,0.00011,0.4,250,False,0.5885,0.5877,0.5882,7.17
1,82,0.03,0.003,0.75,0.1,0.00011,0.4,250,True,0.6156,0.5757,0.5997,5.75
1,83,0.03,0.003,0.75,0.1,0.00011,0.45,250,False,0.6286,0.6015,0.6178,7.17
1,84,0.03,0.003,0.75,0.1,0.00011,0.45,250,True,0.6057,0.5192,0.5711,7.17
1,85,0.03,0.003,0.75,0.1,0.00011,0.5,250,False,0.6528,0.6237,0.6412,7.17
1,86,0.03,0.003,0.75,0.1,0.00011,0.5,250,True,0.6266,0.6035,0.6174,7.17
1,87,0.03,0.003,0.75,0.1,0.00011,0.55,250,False,0.6246,0.5758,0.6051,7.17
1,88,0.03,0.003,0.75,0.1,0.00011,0.55,250,True,0.4281,0.4765,0.4475,6.32
1,89,0.03,0.003,0.75,0.1,0.00011,0.6,250,False,0.6423,0.5758,0.6157,7.17
1,90,0.03,0.003,0.75,0.1,0.00011,0.6,250,True,0.6645,0.5771,0.6296,7.17
1,91,0.03,0.003,0.75,0.1,0.00012,0.4,250,False,0.5451,0.5485,0.5465,6.32
1,92,0.03,0.003,0.75,0.1,0.00012,0.4,250,True,0.6002,0.5640,0.5857,7.17
1,93,0.03,0.003,0.75,0.1,0.00012,0.45,250,False,0.5424,0.4873,0.5204,7.17
1,94,0.03,0.003,0.75,0.1,0.00012,0.45,250,True,0.7401,0.6512,0.7045,5.74
1,95,0.03,0.003,0.75,0.1,0.00012,0.5,250,False,0.5879,0.5718,0.5815,7.17
1,96,0.03,0.003,0.75,0.1,0.00012,0.5,250,True,0.6380,0.5616,0.6074,7.17
1,97,0.03,0.003,0.75,0.1,0.00012,0.55,250,False,0.5815,0.5511,0.5693,7.17
1,98,0.03,0.003,0.75,0.1,0.00012,0.55,250,True,0.5860,0.5513,0.5721,5.74
1,99,0.03,0.003,0.75,0.1,0.00012,0.6,250,False,0.6090,0.5997,0.6053,7.17
1,100,0.03,0.003,0.75,0.1,0.00012,0.6,250,True,0.5547,0.5548,0.5548,6.32
1,101,0.03,0.003,0.75,0.12,8e-05,0.4,250,False,0.6824,0.6359,0.6638,6.89
1,102,0.03,0.003,0.75,0.12,8e-05,0.4,250,True,0.6523,0.5529,0.6125,6.89
1,103,0.03,0.003,0.75,0.12,8e-05,0.45,250,False,0.5643,0.5257,0.5488,7.17
1,104,0.03,0.003,0.75,0.12,8e-05,0.45,250,True,0.6771,0.5870,0.6410,6.32
1,105,0.03,0.003,0.75,0.12,8e-05,0.5,250,False,0.6116,0.5887,0.6024,7.17
1,106,0.03,0.003,0.75,0.12,8e-05,0.5,250,True,0.5844,0.5073,0.5536,7.17
1,107,0.03,0.003,0.75,0.12,8e-05,0.55,250,False,0.5895,0.5174,0.5607,7.17
1,108,0.03,0.003,0.75,0.12,8e-05,0.55,250,True,0.5163,0.4951,0.5078,5.74
1,109,0.03,0.003,0.75,0.12,8e-05,0.6,250,False,0.6823,0.6318,0.6621,5.75
1,110,0.03,0.003,0.75,0.12,8e-05,0.6,250,True,0.5227,0.5750,0.5436,7.17
1,111,0.03,0.003,0.75,0.12,9e-05,0.4,250,False,0.5998,0.5616,0.5845,7.17
1,112,0.03,0.003,0.75,0.12,9e-05,0.4,250,True,0.6462,0.6203,0.6358,7.17
1,113,0.03,0.003,0.75,0.12,9e-05,0.45,250,False,0.6011,0.5636,0.5861,7.17
1,114,0.03,0.003,0.75,0.12,9e-05,0.45,250,True,0.3392,0.4542,0.3852,7.17
1,115,0.03,0.003,0.75,0.12,9e-05,0.5,250,False,0.6065,0.5702,0.5920,6.32
1,116,0.03,0.003,0.75,0.12,9e-05,0.5,250,True,0.5997,0.5986,0.5993,6.89
1,117,0.03,0.003,0.75,0.12,9e-05,0.55,250,False,0.5883,0.5298,0.5649,7.17
1,118,0.03,0.003,0.75,0.12,9e-05,0.55,250,True,0.5695,0.5014,0.5423,7.17
1,119,0.03,0.003,0.75,0.12,9e-05,0.6,250,False,0.6085,0.5616,0.5897,7.17
1,120,0.03,0.003,0.75,0.12,9e-05,0.6,250,True,0.5286,0.4911,0.5136,4.60
1,121,0.03,0.003,0.75,0.12,0.0001,0.4,250,False,0.6531,0.5721,0.6207,6.32
1,122,0.03,0.003,0.75,0.12,0.0001,0.4,250,True,0.5842,0.5697,0.5784,6.89
1,123,0.03,0.003,0.75,0.12,0.0001,0.45,250,False,0.6543,0.5613,0.6171,7.17
1,124,0.03,0.003,0.75,0.12,0.0001,0.45,250,True,0.6074,0.5492,0.5842,7.17
1,125,0.03,0.003,0.75,0.12,0.0001,0.5,250,False,0.6383,0.6227,0.6320,7.17
